# tau / ps;  MSD / pm^2;  Derivative
8.520000; 13300.261303; 699.015017
8.532000; 13308.649483; 612.207705
8.544000; 13315.995976; 1153.449587
8.556000; 13329.837371; 481.385674
8.568000; 13335.613999; 340.827210
8.580000; 13339.703926; 876.011323
8.592000; 13350.216061; 877.378786
8.604000; 13360.744607; 350.870410
8.616000; 13364.955052; 830.330758
8.628000; 13374.919021; 882.160019
8.640000; 13385.504941; 638.452929
8.652000; 13393.166376; 873.812312
8.664000; 13403.652124; 723.432450
8.676000; 13412.333313; 669.019343
8.688000; 13420.361546; 471.603875
8.700000; 13426.020792; 818.939262
8.712000; 13435.848063; 573.118588
8.724000; 13442.725486; 826.153706
8.736000; 13452.639331; 729.137260
8.748000; 13461.388978; 744.183504
8.760000; 13470.319180; 616.140328
8.772000; 13477.712864; 956.852053
8.784000; 13489.195088; 1008.254853
8.796000; 13501.294147; 435.891525
8.808000; 13506.524845; 824.861987
8.820000; 13516.423189; 1237.142881
8.832000; 13531.268903; 1388.532859
8.844000; 13547.931298; 1438.307314
8.856000; 13565.190985; 839.897623
8.868000; 13575.269757; 938.967104
8.880000; 13586.537362; 1318.833185
8.892000; 13602.363360; 1073.083762
8.904000; 13615.240366; 1582.357889
8.916000; 13634.228660; 1601.290650
8.928000; 13653.444148; 1270.228541
8.940000; 13668.686891; 1520.086704
8.952000; 13686.927931; 942.923230
